words,frequency
Named,1
PRIYA,1
",ARUN",1
",RAJESH",1
",ROJA",1
They,1
Treat,1
This.🧿😜‼️.,1
#Wherechennaieats,1
#chennai,1
@,1
Edited,1
12:42,1
€,1
👑70,1
Yrs,1
Old,3
T.Nagar😍🧿⁉️,1
LEGENDS,1
OF,1
EP,2
7,3
70+,1
Legendary,1
“GEETHA,1
CAFE”,1
Function,1
1954,1
🧡,4
Landmark,1
Destination,1
T.Nagar,1
Pondy,2
Bazaar,1
Area,1
Family,1
After,1
Entire,1
Shopping,1
🛍️😜💯,1
🔹Podi,1
🔹Filter,1
Coffee,2
₹35,1
🔹Masala,1
Pappad,1
₹50,1
🔸Podi,1
Was,5
Superb,1
Crispness,1
Podi,4
🔸Their,1
Filter,1
💪🏻,2
🔸GEETHA,1
CAFE,1
🧭,2
Sir,1
Thyagaraya,1
"Rd,",1
Parthasarathi,1
"Puram,",1
T.,1
"Nagar,",3
"Bazaar,",1
600017,1
10:30,1
04428150083,1
4.25/5,1
How,1
Parottas,1
⁉️😜🧿.,1
💥BRAIN,1
IDLY,2
BLOOD,1
FRY,1
ahh😍🧿⁉️,1
TRICHY,1
SERIES,1
14,1
🔹Never,1
EVER,1
Such,4
Exceptionally,1
Unique,3
Spectacularly,1
Made,1
‘JUST,1
IDLY’,1
@mudidli_trichy,1
🔹They,1
Various,1
Mud,5
Idly,11
Varieties,2
‘Idly,1
"Rabdi,",1
Brain,5
Perattal,3
Idly’,1
You’ve,1
Probably,1
Never,1
Heard,1
Miss,1
👑,1
Compact,1
Neat,1
Quality,1
Worth,1
EVERY,1
SINGLE,1
PENNY,1
🔹Brain,1
🧠,2
₹160,1
🔹Idly,3
Rabdi,2
₹110,2
🔹Poricha,1
🍟,2
₹70,1
Ratha,1
Poriyal,1
(Boneless),1
₹170,2
🔹Cheese,1
Burst,1
Aranchini,1
🧀,1
🔹Button,1
Bites,2
₹120,2
🔹Butter,1
Garlic,2
🧄,1
70,1
🔹Ghee,1
₹40,1
🔹Authentic,1
₹15/,1
🔹Mutton,1
Nalli,2
Kari,2
🍖,2
₹200,1
🔹Mushroom,1
Style,1
🍄,1
🔹Aatukaal,1
Paya,1
🔸💯,1
Denotes,1
Must,1
🥰,2
🔸The,1
Highlights,1
Their,1
Savoury,1
"Especially,",1
Button,1
Were,1
Flavour,2
BOMB,1
Explodes,1
Mouth,1
Every,1
Single,1
Bite.,1
Freaking,1
🔸Poricha,1
Topped,1
Over,2
Extremely,1
Crispy,1
Juicy,1
Same,1
Time,1
Choose,1
French,1
Fries,1
ANY,1
DAY,1
🔸Idly,1
Dessert,1
🍮🙏🏻,1
🔸Mutton,1
Sensational,1
🔸MUD,1
IDLI,1
80,1
ft,1
"Road,",2
10th,3
Cross,1
"West,",1
Thillai,1
Trichy,1
620018,1
11:00,1
🔸Shop,1
Closed,1
Monday’s,1
9629933324,1
Super,2
Woman,1
Selling,2
Tasty,1
Streetfood.,2
@foodpandits,4
Location:,3
phase,1
Mohali.,1
#reels,5
#viral,3
#womanpower,2
#woman,2
#instagood,7
#instagram,3
#daily,3
#superwoman,2
#streetfoodindia,3
#foodpandits,11
#foodblogger,6
#indianblogger,3
#jammublogger,3
#mohali,2
#chandigarh,1
#chandigarhblogger,1
#tasty,3
#delicious,3
#jammufood,5
#reelsviral,2
#reelskarofeelkaro,2
#insta,3
#foodreels,9
Abled,1
Girl,1
Child,1
Priyanka,1
New,3
Setup.,1
@priyankacafe49,1
J&K,1
Shastri,1
Jammu.,3
#specialchild,1
Two,1
Brothers,1
Both,1
Deaf,1
Mute,1
Kunjwani,1
Chowk,3
Oil,1
Petrol,1
"pump,",1
#hardwork,1
#hardworking,1
#brothers,1
#vocalforlocal,1
#help,1
#buylocal,1
#desikhana,1
#desifood,1
#trending,1
Sardar,1
Ji.,1
🚗-,4
Croma,1
"Store,",1
"Mohali,",1
Highway,1
Road,1
#reel,1
#foodlover,1
#tastyfood,1
#south,1
#north,1
#bestfood,1
#idli,1
Himachali,1
Sidhu,1
2km,1
Away,1
Hathi,1
Matha,1
Towards,1
Manikaran,1
Sahib,1
"Ji.,",1
Himachal,2
Pradesh.,2
#morning,6
#foods,5
#delhistreetfood,2
#foodlovers,2
#reelitfeelit,5
#instareels,2
#siddu,1
#himachal,2
Papper,1
Bathure,1
❤️,1
🏍️,1
Beni,1
ram,1
chole,1
bhature,1
belganj,1
Civil,1
lines,1
#indianstreetfood,1
#agrastreetfood,1
#foodie,1
#cholebathure,1
Samosa,1
McleodGanj.,1
🛵-,2
Chota,1
Dalai,1
Lama,1
"Mcleodganj,",1
#traditional,2
#jammustreetfood,2
#jammufoodblogger,3
#foodblog,2
#reelsindia,3
#reelkarofeelkaro,2
#healthyfood,2
#breakfast#streetfood,2
#samosa,1
Samose,2
Saini,1
"Wale,",1
Sadar,1
"Bazar,",1
"Gurugram,",1
Haryana.,1
Streetfood,1
Jammu,2
View,1
Point,1
"Atham,",1
Sunisar,1
Am,1
Pm,1
Dahi,1
Bhalle,1
Outside,1
Company,1
Prayagraj,1
#foodies,1
#foodart,1
#foodpic,1
